Year,Month,Day,Hour,AirQualityStationEoICode,AirPollutant,Concentration
2013,9,1,0,CZ0TNUJ,PM10,13.0
2013,9,2,0,CZ0TNUJ,PM10,8.0
2013,9,2,0,CZ0TNUJ,PM10,8.0
2013,9,3,0,CZ0TNUJ,PM10,13.0
2013,9,3,0,CZ0TNUJ,PM10,13.0
2013,9,4,0,CZ0TNUJ,PM10,20.0
2013,9,4,0,CZ0TNUJ,PM10,20.0
2013,9,5,0,CZ0TNUJ,PM10,22.0
2013,9,5,0,CZ0TNUJ,PM10,22.0
2013,9,6,0,CZ0TNUJ,PM10,17.0
2013,9,6,0,CZ0TNUJ,PM10,17.0
2013,9,7,0,CZ0TNUJ,PM10,22.0
2013,9,7,0,CZ0TNUJ,PM10,22.0
2013,9,8,0,CZ0TNUJ,PM10,21.0
2013,9,8,0,CZ0TNUJ,PM10,21.0
2013,9,9,0,CZ0TNUJ,PM10,16.0
2013,9,9,0,CZ0TNUJ,PM10,16.0
2013,9,10,0,CZ0TNUJ,PM10,12.0
2013,9,10,0,CZ0TNUJ,PM10,12.0
2013,9,11,0,CZ0TNUJ,PM10,10.0
2013,9,11,0,CZ0TNUJ,PM10,10.0
2013,9,12,0,CZ0TNUJ,PM10,15.0
2013,9,12,0,CZ0TNUJ,PM10,15.0
2013,9,13,0,CZ0TNUJ,PM10,12.0
2013,9,13,0,CZ0TNUJ,PM10,12.0
2013,9,14,0,CZ0TNUJ,PM10,14.0
2013,9,14,0,CZ0TNUJ,PM10,14.0
2013,9,15,0,CZ0TNUJ,PM10,11.0
2013,9,15,0,CZ0TNUJ,PM10,11.0
2013,9,16,0,CZ0TNUJ,PM10,11.0
2013,9,16,0,CZ0TNUJ,PM10,11.0
2013,9,17,0,CZ0TNUJ,PM10,11.0
2013,9,17,0,CZ0TNUJ,PM10,11.0
2013,9,18,0,CZ0TNUJ,PM10,9.0
2013,9,18,0,CZ0TNUJ,PM10,9.0
2013,9,19,0,CZ0TNUJ,PM10,19.0
2013,9,19,0,CZ0TNUJ,PM10,19.0
2013,9,20,0,CZ0TNUJ,PM10,17.0
2013,9,20,0,CZ0TNUJ,PM10,17.0
2013,9,21,0,CZ0TNUJ,PM10,26.0
2013,9,21,0,CZ0TNUJ,PM10,26.0
2013,9,22,0,CZ0TNUJ,PM10,18.0
2013,9,22,0,CZ0TNUJ,PM10,18.0
2013,9,23,0,CZ0TNUJ,PM10,8.0
2013,9,23,0,CZ0TNUJ,PM10,8.0
2013,9,24,0,CZ0TNUJ,PM10,15.0
2013,9,24,0,CZ0TNUJ,PM10,15.0
2013,9,25,0,CZ0TNUJ,PM10,21.0
2013,9,25,0,CZ0TNUJ,PM10,21.0
2013,9,26,0,CZ0TNUJ,PM10,18.0
2013,9,26,0,CZ0TNUJ,PM10,18.0
2013,9,27,0,CZ0TNUJ,PM10,24.0
